#	case_name	geom_name	alt_kft	Re	M_inf	alpha_deg	beta_deg	CD	CL	CMy
case_5360	geom_536	36.32	12040000.0	0.2054	0.2194	0.0	0.0069627	0.00597896	-0.00263935	
case_8941	geom_894	31.94	1423000.0	0.2977	-0.3713	0.0	0.0123127	-0.005933	0.00208861	
case_9874	geom_987	7.05	57210000.0	0.4719	7.656	0.0	0.0118923	0.156838	-0.064051	
case_4093	geom_409	16.62	49480000.0	0.4057	12.06	0.0	0.0330641	0.221302	-0.0666773	
case_0016	geom_001	25.09	29240000.0	0.3547	-3.94	0.0	0.0072335	-0.103721	0.0451394	
case_7063	geom_706	9.316	70470000.0	0.479	5.351	0.0	0.00707048	0.113429	-0.0429065	
case_8531	geom_853	20.07	18470000.0	0.16	-6.86	0.0	0.0162234	-0.178455	0.0853355	
case_6071	geom_607	15.54	36360000.0	0.3012	10.71	0.0	0.0251752	0.251501	-0.0847837	
case_3434	geom_343	8.937	26120000.0	0.4973	18.99	0.0	0.125278	0.403531	-0.213074	
case_7195	geom_719	4.229	8737000.0	0.1059	2.514	0.0	0.0152604	0.0742896	-0.0339557	
case_0562	geom_056	10.52	2395000.0	0.4027	14.31	0.0	0.0436314	0.214324	-0.0874171	
case_0061	geom_006	25.54	36430000.0	0.4626	12.51	0.0	0.0430271	0.240792	-0.0836177	
case_0982	geom_098	8.787	24130000.0	0.3424	-7.596	0.0	0.0138105	-0.183057	0.0601295	
case_4934	geom_493	36.69	7542000.0	0.2955	-7.471	0.0	0.0112604	-0.116523	0.0387499	
case_7779	geom_777	38.14	1254000.0	0.3082	7.563	0.0	0.0179111	0.184374	-0.0781118	
case_4063	geom_406	20.63	46750000.0	0.4829	5.614	0.0	0.00659972	0.108589	-0.0400111	
case_2309	geom_230	24.15	16430000.0	0.1987	17.09	0.0	0.072991	0.311756	-0.130838	
case_3631	geom_363	38.5	2153000.0	0.3975	-7.817	0.0	0.0172785	-0.187456	0.0778608	
case_5386	geom_538	1.174	72930000.0	0.3709	-1.965	0.0	0.00572665	-0.063627	0.0324308	
case_0895	geom_089	9.127	25390000.0	0.4692	-6.298	0.0	0.0117808	-0.204504	0.0754666	
case_1608	geom_160	23.49	3366000.0	0.13	2.77	0.0	0.0148174	0.0799978	-0.034432	
case_3462	geom_346	0.2173	10560000.0	0.1858	-2.764	0.0	0.00804053	-0.0467411	0.0176485	
case_8931	geom_893	38.94	19220000.0	0.4132	4.046	0.0	0.00799935	0.113915	-0.050388	
case_7493	geom_749	16.27	12760000.0	0.1031	11.5	0.0	0.0202522	0.1327	-0.0355361	
case_8277	geom_827	8.899	63320000.0	0.405	-6.533	0.0	0.0102283	-0.17364	0.0701926	
case_4018	geom_401	31.85	6637000.0	0.4138	-6.561	0.0	0.0130324	-0.163582	0.0649456	
case_4870	geom_487	7.23	7140000.0	0.1112	13.68	0.0	0.0558278	0.397511	-0.190803	
case_3766	geom_376	27.67	27470000.0	0.2998	8.607	0.0	0.0141186	0.158455	-0.048158	
case_3559	geom_355	4.544	19390000.0	0.09634	4.093	0.0	0.0161179	0.10465	-0.0464053	
case_7948	geom_794	3.335	12420000.0	0.2339	-7.008	0.0	0.018075	-0.254569	0.113931	
case_4284	geom_428	3.96	56710000.0	0.2743	9.712	0.0	0.0233892	0.301048	-0.120077	
case_3248	geom_324	9.33	43220000.0	0.2817	17.72	0.0	0.0828405	0.329411	-0.125117	
case_6843	geom_684	35.46	13230000.0	0.2055	7.104	0.0	0.0131492	0.130289	-0.0449746	
